
s15/15_0102* 699 707 __ __ FN
s15/15_0102* __ __ 1018 1042 FP
s15/15_0502* 138 148 __ __ FN
s15/15_0502* __ __ 973 997 FP
s16/16_0101* 552 565 540 564 TP
s16/16_0101* __ __ 393 417 FP
s16/16_0101* __ __ 680 704 FP
s16/16_0101* __ __ 800 824 FP
s16/16_0101* __ __ 1821 1845 FP
s16/16_0101* __ __ 1889 1913 FP
s16/16_0102* 270 278 __ __ FN
s16/16_0102* __ __ 214 238 FP
s16/16_0102* __ __ 281 305 FP
s16/16_0102* __ __ 361 385 FP
s16/16_0102* __ __ 707 731 FP
s16/16_0102* __ __ 1041 1065 FP
s16/16_0502* 323 334 __ __ FN
s16/16_0502* __ __ 119 143 FP
s16/16_0502* __ __ 350 374 FP
s16/16_0502* __ __ 842 866 FP
s16/16_0502* __ __ 2142 2166 FP
s16/16_0505* 396 407 __ __ FN
s16/16_0505* 1695 1710 __ __ FN
s16/16_0505* 1880 1895 __ __ FN
s16/16_0505* __ __ 65 89 FP
s16/16_0505* __ __ 685 709 FP
s16/16_0505* __ __ 1575 1599 FP
s16/16_0505* __ __ 1786 1810 FP
s16/16_0505* __ __ 1973 1997 FP
s16/16_0505* __ __ 2138 2162 FP
s16/16_0507* 1958 1968 __ __ FN
s16/16_0507* 2285 2295 __ __ FN
s16/16_0507* __ __ 536 560 FP
s16/16_0507* __ __ 861 885 FP
s16/16_0507* __ __ 971 995 FP
s19/19_0402* 1927 1942 __ __ FN
s19/19_0402* __ __ 1865 1889 FP
s23/23_0102* 331 346 323 347 TP
s23/23_0102* 526 540 525 549 TP
s23/23_0102* 727 740 721 745 TP
s23/23_0102* __ __ 32 56 FP
s23/23_0102* __ __ 94 118 FP
s23/23_0102* __ __ 143 167 FP
s23/23_0102* __ __ 642 666 FP
s24/24_0401* 608 621 599 623 TP
s24/24_0401* 963 977 __ __ FN
s24/24_0401* 1890 1902 __ __ FN
s24/24_0401* 2181 2193 __ __ FN
s24/24_0401* 3441 3453 3439 3463 TP
s24/24_0401* __ __ 344 368 FP
s24/24_0401* __ __ 422 446 FP
s24/24_0401* __ __ 796 820 FP
s24/24_0401* __ __ 1023 1047 FP
s24/24_0507* 1836 1848 __ __ FN
s24/24_0507* 1951 1965 __ __ FN
s24/24_0507* 3233 3248 __ __ FN
s24/24_0507* __ __ 2029 2053 FP
s25/25_0101* 113 127 108 132 TP
s25/25_0101* __ __ -8 16 FP
s25/25_0102* 996 1008 __ __ FN
s25/25_0102* 1008 1017 __ __ FN
s25/25_0102* 1018 1034 __ __ FN
s25/25_0102* __ __ 110 134 FP
s25/25_0102* __ __ 274 298 FP
s25/25_0102* __ __ 533 557 FP
s25/25_0102* __ __ 991 1045 FP
s27/27_0401* 352 365 __ __ FN
s27/27_0401* 369 382 359 383 TP
s27/27_0401* 1135 1147 1126 1150 TP
s27/27_0401* 1974 1986 __ __ FN
s27/27_0401* __ __ 328 352 FP
s27/27_0401* __ __ 1428 1452 FP
s27/27_0101* 874 888 __ __ FN
s27/27_0101* __ __ 1213 1237 FP
s27/27_0102* 34 48 __ __ FN
s27/27_0102* 309 317 __ __ FN
s27/27_0102* 374 388 368 392 TP
s27/27_0102* __ __ 549 573 FP
s27/27_0102* __ __ 795 819 FP
s27/27_0502* 613 628 __ __ FN
s27/27_0502* __ __ 59 83 FP
s27/27_0502* __ __ 723 747 FP
s27/27_0502* __ __ 999 1023 FP
s27/27_0502* __ __ 1677 1701 FP
s27/27_0503* 419 432 __ __ FN
s27/27_0503* __ __ 305 329 FP
s27/27_0503* __ __ 782 806 FP
s27/27_0503* __ __ 915 939 FP
s27/27_0503* __ __ 1858 1882 FP
s27/27_0503* __ __ 2260 2284 FP
s27/27_0507* 876 890 __ __ FN
s27/27_0507* __ __ 35 59 FP
s27/27_0507* __ __ 891 915 FP
s27/27_0507* __ __ 1904 1928 FP
s27/27_0507* __ __ 3242 3266 FP
s29/29_0502* 140 152 128 152 TP
s29/29_0502* __ __ 905 929 FP
s29/29_0502* __ __ 1530 1554 FP
s29/29_0502* __ __ 1958 1982 FP
s29/29_0502* __ __ 2095 2119 FP
s29/29_0502* __ __ 2145 2169 FP
s29/29_0502* __ __ 2245 2269 FP
s30/30_0401* 926 941 922 946 TP
s30/30_0401* __ __ 718 742 FP
s30/30_0101* 1455 1466 __ __ FN
s30/30_0101* __ __ -6 18 FP
s30/30_0101* __ __ 824 848 FP
s30/30_0101* __ __ 1400 1424 FP
s30/30_0101* __ __ 1470 1494 FP
s31/31_0402* 1689 1702 __ __ FN
s31/31_0402* 2190 2204 __ __ FN
s31/31_0402* 2377 2389 __ __ FN
s31/31_0402* 3803 3815 __ __ FN
s31/31_0402* __ __ 2391 2415 FP
s31/31_0402* __ __ 2833 2857 FP
s31/31_0101* 1421 1433 1410 1434 TP
s31/31_0101* __ __ 50 74 FP
s31/31_0101* __ __ 630 654 FP
s31/31_0505* 1046 1059 __ __ FN
s31/31_0505* __ __ 7 31 FP
s31/31_0505* __ __ 1255 1279 FP
s31/31_0505* __ __ 1979 2003 FP
s32/32_0401* 268 278 __ __ FN
s32/32_0401* __ __ 397 421 FP
s32/32_0401* __ __ 570 594 FP
s32/32_0502* 311 324 312 336 TP
s32/32_0502* 1171 1184 __ __ FN
s32/32_0502* __ __ 126 150 FP
s32/32_0502* __ __ 1156 1180 FP
s32/32_0503* 258 272 __ __ FN
s32/32_0503* 1031 1044 __ __ FN
s32/32_0503* __ __ 338 362 FP
s32/32_0503* __ __ 641 665 FP
s32/32_0503* __ __ 1546 1570 FP
s32/32_0508* 286 301 281 305 TP
s35/35_0102* 100 113 __ __ FN
s35/35_0102* 363 371 __ __ FN
s35/35_0102* __ __ 349 373 FP
s37/37_0402* 3502 3514 3502 3526 TP
s37/37_0402* __ __ 1541 1565 FP
s37/37_0402* __ __ 1692 1716 FP
s37/37_0402* __ __ 2921 2945 FP
s37/37_0402* __ __ 3165 3189 FP
s37/37_0508* 418 430 __ __ FN
s37/37_0508* __ __ 77 101 FP
s37/37_0508* __ __ 210 234 FP
s38/38_0507* 2232 2247 2234 2258 TP
s38/38_0507* __ __ 1720 1744 FP
s38/38_0507* __ __ 1969 1993 FP
